station_id,latitude,longitude,name,observation_time,temperature,temperature_high,temperature_low,humidity,solar_radiation,solar_radiation_high,rain,rain_inches_last_hour,wind_speed_mph,wind_direction_degrees,wind_gust_speed_mph,wind_gust_direction_degrees,pressure,soil_temp_1,soil_temp_2,soil_temp_3,soil_temp_4,soil_moist_1,soil_moist_2,soil_moist_3,soil_moist_4
1,40.93894,-86.47418,WHIN001-PULA001,2021-02-23T23:45:00Z,35,37,35,86,1,7,0,0,5,225,6,225,29.99,32,32,32,34,4,7,6,15
3,40.73083,-86.98467,WHIN003-WHIT001,2021-02-23T23:45:00Z,35,35,35,85,1,5,0,0,3,180,5,202.5,29.932,32,32,33,33,7,8,6,3
4,40.04188,-86.76929,WHIN004-MONT001,2021-02-23T23:45:00Z,42,42,40,80,3,9,0,0,2,225,4,225,29.986,32,32,32,32,121,137,6,7
5,40.89261,-86.23791,WHIN005-CASS001,2021-02-23T23:30:00Z,39,39,37,80,11,14,0,0,8,225,12,225,29.961,32,33,34,34,6,4,5,5
6,41.03067,-86.75275,WHIN006-PULA002,2021-02-23T23:45:00Z,37,38,37,83,1,5,0,0,4,202.5,7,202.5,29.977,33,33,34,35,5,2,3,1
7,40.69305,-86.21365,WHIN007-CASS002,2021-02-23T23:45:00Z,37,37,36,83,1,5,0,0,3,0,4,0,29.993,32,32,33,34,5,20,21,15
8,40.42919,-86.84547,WHIN008-TIPP005 Chatham Square,2021-02-23T23:45:00Z,45,46,45,70,2,7,0,0,2,22.5,4,22.5,29.952,36,35,34,35,6,5,6,6
10,40.48022,-87.04583,WHIN010-TIPP001,2021-02-23T23:45:00Z,43,45,43,74,3,7,0,0,0,,0,,29.221,32,33,33,34,3,9,9,5
11,40.57884,-87.3521,WHIN011-BENT002,2021-02-23T23:45:00Z,43,45,43,74,427,427,0,0,5,180,6,180,29.976,32,31,32,33,163,172,41,7
12,40.38611,-87.10128,WHIN012-WARR002,2021-02-23T23:45:00Z,44,45,44,73,3,7,0,0,1,202.5,4,202.5,29.985,32,33,34,35,9,10,5,3
13,40.5216300262513,-87.0201107772461,WHIN013-TIPP002,2021-02-23T23:45:00Z,39,41,39,76,3,7,0,0,1,247.5,4,247.5,29.986,31,32,33,34,148,7,3,4
14,40.57623,-86.48683,WHIN014-CARR001,2021-02-23T23:45:00Z,39,39,39,80,2,7,0,0,0,157.5,2,157.5,29.24,33,33,34,34,6,9,9,6
15,40.3957718198213,-86.4685804227539,WHIN015-CLIN001,2021-02-23T23:45:00Z,41,41,41,74,1,5,0,0,2,202.5,5,202.5,29.995,32,32,33,35,4,3,2,1
17,40.6385,-86.84135,WHIN017-WHIT002,2021-02-23T23:45:00Z,40,40,40,77,3,7,0,0,4,225,9,225,29.97,32,33,33,34,33,39,20,16
18,40.64988,-87.47267,WHIN018-BENT003,2021-02-23T23:45:00Z,39,39,37,85,3,7,0,0,5,180,8,180,29.207,33,32,33,34,6,4,3,2
19,40.649157178287,-86.3354047073792,WHIN019-CASS003,2021-02-23T23:45:00Z,39,39,38,79,1,5,0,0,3,180,5,202.5,29.978,32,32,34,35,6,7,4,6
20,40.2709571472446,-87.1486035394257,WHIN020-FOUN001,2021-02-23T23:45:00Z,42,43,42,74,2,7,0,0,4,225,7,225,30.076,32,32,33,34,6,8,5,5
22,40.24847,-86.59035,WHIN022-CLIN003 EXT,2021-02-23T23:45:00Z,37,39,37,78,2,7,0,0,0,,0,,30.008,32,32,33,34,83,5,14,3
