id,name,latitude,longitude
142,WHIN052-MONT004,40.10483,-86.86619
150,WHIN058-PULA007,41.00467,-86.68428
161,WHIN071-PULA009,40.97021,-86.89882
143,WHIN053-PULA005,40.98224,-86.38542
151,WHIN059-CASS006,40.84436,-86.18173
162,WHIN070-WARR007,40.38422,-87.31635
20,WHIN020-FOUN001,40.2709571472446,-87.1486035394257
144,WHIN054-WHIT007,40.53722,-86.95342
152,WHIN060-WARR005,40.30878,-87.29943
163,WHIN072-FOUN005,40.16179,-87.35246
166,Five Star Residence,40.42124,-86.84642
145,WHIN055-BENT006,40.58629000000001,-87.43654000000002
153,WHIN061-WARR006,40.38539,-87.51034
164,WHIN073-CLIN006,40.37634,-86.59591
167,WHIN075-CLIN007,40.38116,-86.40269
146,WHIN056-CLIN004,40.43134000000001,-86.53464
154,WHIN063-CLIN005,40.37382,-86.31443
165,WHIN074-BENT007,40.48527,-87.50375
147,WHIN057-PULA006,41.01865,-86.7101
155,WHIN064-CARR010,40.70178,-86.70649
148,WHIN051-BENT005,40.47564000000001,-87.20689
156,WHIN065-CARR011,40.51432,-86.45855999999998
43,WHIN043-WHIT006,40.494033,-87.18811099999998
157,WHIN066-BENT006 EXT,40.5485,-87.12477
158,WHIN067-PULA008 West Central,41.02811,-86.89036
2,WHIN002-BENT001,40.4757,-87.20692
159,WHIN068-WHIT008,40.78049,-86.89576
37,WHIN037-TIPP004,40.46806,-86.98966
149,WHIN062-CARR009,40.59057,-86.39155
160,WHIN069-CASS007,40.97061,-86.35304000000002
141,Lafayette,40.38155,-86.82454
133,Fowler,40.627847815921,-87.168467577586
134,Ambia,40.492173375187,-87.52614739992502
135,Galveston,40.5836131409006,-86.26559724767691
136,Chalmers,40.672542394534,-86.956107702145
137,Chalmers,40.634109260881,-86.958647754083
138,Wolcott,40.790660002937,-86.985167299293
139,Francesville,41.02205,-86.83381
140,Atkinson,40.563483372483,-87.21340128410802
51,Thornhope,40.913701522318,-86.544452991376
52,Medaryville,41.08899,-86.89137
53,Francesville,40.94167138704,-86.83829435337498
54,Francessville,41.012359886604,-86.90996431935802
55,Monticello,40.822126046304,-86.759834375272
56,Headlee,40.909704281781,-86.636374976525
57,Idaville,40.755444682488,-86.687721844802
58,Reynolds,40.719674988624,-86.953554239163
59,Wolcott,40.815599089784,-87.022044446359
60,Chalmers,40.661383255671,-86.899775948415
61,Reynolds,40.802036678067005,-86.946194257626
62,Remington,40.7584,-87.07972
63,Reynolds,40.728301946834,-86.916239347348
64,Idaville,40.773402475519,-86.666370119939
65,Buffalo,40.829575795889,-86.65274449814302
66,Buffalo,40.90814342753,-86.658618535886
67,Monticello,40.91174,-86.75088000000002
68,Monticello,40.75949114047,-86.74077862132498
69,Chalmers,40.695562770384,-86.81862035025101
70,Monticello,40.770583065226,-86.82447561253097
