OBJECTID *,Shape *,Join_Count,TARGET_FID,id,name,latitude,longitude,latitude_2,longitude_2,name_2,observation_time,temperature,temperature_high,temperature_low,humidity,solar_radiation,solar_radiation_high,rain,rain_inches_last_hour,wind_speed_mph,wind_direction_degrees,wind_gust_speed_mph,wind_gust_direction_degrees,pressure,soil_temp_1,soil_temp_2,soil_temp_3,soil_temp_4,soil_moist_1,soil_moist_2,soil_moist_3,soil_moist_4,Temp_IDWalt,Temp_EBKalt,AREA,PERIMETER,NAME_U,NAME_L,NCAPC,CNTY_FIPS,STFID,POP2000,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,Shape__Are,Shape__Len
1,Point Z,1,1,142,WHIN052-MONT004,40.10483,-86.86619,40.10483,-86.86619,WHIN052-MONT004,2021-02-23T23:45:00Z,45,45,44,71,3,7,0,0,3,225,5,247.5,29.149,32,33,34,36,5,7,3,2,44.99632,44.36635,1308143679,145169.6661,MONTGOMERY,Montgomery,54,107,18107,37629,36414,288,73,159,13,413,269,611,18774,18855,2507,7259,2110,3585,5484,5507,5955,5222,36.6,34.7,38.2,14595,2.5,1549,2142,3650,4763,360,867,10246,2.97,15678,1083,10707,3888,2236232750,189829.4421
2,Point Z,1,2,162,WHIN070-WARR007,40.38422,-87.31635,40.38422,-87.31635,WHIN070-WARR007,2021-02-23T23:45:00Z,44,46,44,69,4,9,0,0,1,135,3,135,29.277,33,34,35,35,5,5,5,4,43.99159,42.18949,948193947.1,144068.6232,WARREN,Warren,86,171,18171,8419,8342,7,12,15,2,6,35,37,4267,4152,509,1684,313,689,1250,1287,1514,1173,38.2,36.6,39.9,3219,2.58,284,397,865,1223,79,129,2423,2.98,3477,258,2609,610,1635477879,189154.1783
3,Point Z,1,3,20,WHIN020-FOUN001,40.270957,-87.148604,40.270957,-87.148604,WHIN020-FOUN001,2021-02-23T23:45:00Z,42,43,42,74,2,7,0,0,4,225,7,225,30.076,32,32,33,34,6,8,5,5,42.0049,43.28991,1029786599,142438.1468,FOUNTAIN,Fountain,23,45,18045,17954,17722,19,36,32,1,50,94,190,8908,9046,1191,3520,771,1566,2574,2589,2949,2794,37.7,35.8,39.4,7041,2.52,700,1048,1778,2380,185,334,5038,3,7692,651,5482,1559,1764513518,186539.062
4,Point Z,1,4,144,WHIN054-WHIT007,40.53722,-86.95342,40.53722,-86.95342,WHIN054-WHIT007,2021-02-23T23:45:00Z,38,40,38,77,2,7,0,0,2,225,4,225,29.197,33,98,35,36,3,0,1,1,38.02692,39.85463,1302322797,145012.5148,TIPPECANOE,Tippecanoe,79,157,18157,148955,132354,3752,417,6649,48,3687,2048,7834,76423,72532,8771,22429,25638,24160,19157,18093,17175,13532,27.2,25.7,29,55226,2.42,7185,8304,11781,14137,951,3010,32403,3.01,58343,3117,30892,24334,2249101081,190593.3045
5,Point Z,1,5,152,WHIN060-WARR005,40.30878,-87.29943,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,43.02227,43.01182,948193947.1,144068.6232,WARREN,Warren,86,171,18171,8419,8342,7,12,15,2,6,35,37,4267,4152,509,1684,313,689,1250,1287,1514,1173,38.2,36.6,39.9,3219,2.58,284,397,865,1223,79,129,2423,2.98,3477,258,2609,610,1635477879,189154.1783
6,Point Z,1,6,163,WHIN072-FOUN005,40.16179,-87.35246,40.16179,-87.35246,WHIN072-FOUN005,2021-02-23T23:45:00Z,45,45,42,72,5,11,0,0,6,180,7,180,28.951,32,33,33,35,6,3,5,2,44.99931,44.20131,1029786599,142438.1468,FOUNTAIN,Fountain,23,45,18045,17954,17722,19,36,32,1,50,94,190,8908,9046,1191,3520,771,1566,2574,2589,2949,2794,37.7,35.8,39.4,7041,2.52,700,1048,1778,2380,185,334,5038,3,7692,651,5482,1559,1764513518,186539.062
7,Point Z,1,7,166,Five Star Residence,40.42124,-86.84642,40.42124,-86.84642,Five Star Residence,2021-02-23T23:45:00Z,46,47,46,67,2,7,0,0,1,157.5,4,202.5,29.234,35,35,36,37,3,3,1,2,45.88695,43.85297,1302322797,145012.5148,TIPPECANOE,Tippecanoe,79,157,18157,148955,132354,3752,417,6649,48,3687,2048,7834,76423,72532,8771,22429,25638,24160,19157,18093,17175,13532,27.2,25.7,29,55226,2.42,7185,8304,11781,14137,951,3010,32403,3.01,58343,3117,30892,24334,2249101081,190593.3045
8,Point Z,1,8,145,WHIN055-BENT006,40.58629,-87.43654,40.58629,-87.43654,WHIN055-BENT006,2021-02-23T23:45:00Z,41,42,41,75,4,9,0,0,6,225,8,225,29.087,33,34,35,35,4,5,2,3,40.96617,39.63132,1051997674,130767.1265,BENTON,Benton,4,7,18007,9421,9129,20,13,8,0,121,130,245,4677,4744,626,2000,389,820,1341,1380,1388,1477,36.7,34.6,38.7,3558,2.59,343,528,963,1155,88,201,2549,3.09,3818,260,2697,861,1828494476,172361.6273
9,Point Z,1,9,153,WHIN061-WARR006,40.38539,-87.51034,40.38539,-87.51034,WHIN061-WARR006,2021-02-23T23:45:00Z,40,42,40,83,4,9,0,0,3,157.5,5,157.5,29.179,32,33,34,35,5,5,2,19,40.00151,41.0467,948193947.1,144068.6232,WARREN,Warren,86,171,18171,8419,8342,7,12,15,2,6,35,37,4267,4152,509,1684,313,689,1250,1287,1514,1173,38.2,36.6,39.9,3219,2.58,284,397,865,1223,79,129,2423,2.98,3477,258,2609,610,1635477879,189154.1783
10,Point Z,1,10,164,WHIN073-CLIN006,40.37634,-86.59591,40.37634,-86.59591,WHIN073-CLIN006,2021-02-23T23:45:00Z,41,42,41,76,1,5,0,0,4,180,6,180,29.109,32,32,34,34,14,5,4,5,40.98708,40.2671,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
11,Point Z,1,11,167,WHIN075-CLIN007,40.38116,-86.40269,40.38116,-86.40269,WHIN075-CLIN007,2021-02-23T23:45:00Z,39,40,39,76,2,7,0,0,5,225,6,225,29.049,32,33,34,35,4,5,4,4,39.00828,39.03596,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
12,Point Z,1,12,146,WHIN056-CLIN004,40.43134,-86.53464,40.43134,-86.53464,WHIN056-CLIN004,2021-02-23T23:45:00Z,38,40,37,77,2,7,0,0,6,202.5,7,180,29.18,32,33,34,34,4,5,5,2,38.01589,38.88672,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
13,Point Z,1,13,154,WHIN063-CLIN005,40.37382,-86.31443,40.37382,-86.31443,WHIN063-CLIN005,2021-02-23T23:45:00Z,39,39,38,79,2,7,0,0,3,180,5,157.5,29.031,32,32,34,35,7,12,8,7,38.9544,38.6124,1048797387,132964.602,CLINTON,Clinton,12,23,18023,33866,31962,103,48,71,7,1414,261,2478,16704,17162,2390,6853,1760,3419,4802,4990,4779,4873,35.6,33.8,37.3,12545,2.63,1208,1749,3372,4018,320,721,9059,3.1,13267,722,9140,3405,1806548422,174457.6145
14,Point Z,1,14,165,WHIN074-BENT007,40.48527,-87.50375,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,39.19657,40.10542,1051997674,130767.1265,BENTON,Benton,4,7,18007,9421,9129,20,13,8,0,121,130,245,4677,4744,626,2000,389,820,1341,1380,1388,1477,36.7,34.6,38.7,3558,2.59,343,528,963,1155,88,201,2549,3.09,3818,260,2697,861,1828494476,172361.6273
15,Point Z,1,15,155,WHIN064-CARR010,40.70178,-86.70649,40.70178,-86.70649,WHIN064-CARR010,2021-02-23T23:45:00Z,39,40,39,80,2,7,0,0,5,202.5,6,202.5,29.261,32,32,33,34,146,87,56,53,39.01926,39.32673,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
16,Point Z,1,16,148,WHIN051-BENT005,40.47564,-87.20689,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,44.51903,41.18687,1051997674,130767.1265,BENTON,Benton,4,7,18007,9421,9129,20,13,8,0,121,130,245,4677,4744,626,2000,389,820,1341,1380,1388,1477,36.7,34.6,38.7,3558,2.59,343,528,963,1155,88,201,2549,3.09,3818,260,2697,861,1828494476,172361.6273
17,Point Z,1,17,156,WHIN065-CARR011,40.51432,-86.45856,40.51432,-86.45856,WHIN065-CARR011,2021-02-23T23:45:00Z,40,41,39,77,2,7,0,0,5,202.5,7,202.5,29.187,32,32,33,35,22,15,16,9,39.99049,39.36783,970406171.8,140073.5824,CARROLL,Carroll,8,15,18015,20165,19691,40,33,12,1,280,108,591,10060,10105,1368,3930,870,1886,2883,3141,3281,2806,37.2,36.2,38.3,7718,2.59,784,976,2081,2820,185,294,5686,3.04,8675,957,6149,1569,1685479027,184606.9798
18,Point Z,1,18,43,WHIN043-WHIT006,40.494033,-87.188111,40.494033,-87.188111,WHIN043-WHIT006,2021-02-23T23:45:00Z,38,39,38,83,3,7,0,0,5,157.5,7,157.5,29.231,56,34,34,35,5,5,5,3,38.10563,40.70269,1051997674,130767.1265,BENTON,Benton,4,7,18007,9421,9129,20,13,8,0,121,130,245,4677,4744,626,2000,389,820,1341,1380,1388,1477,36.7,34.6,38.7,3558,2.59,343,528,963,1155,88,201,2549,3.09,3818,260,2697,861,1828494476,172361.6273
